ConfirmFirstMeasureToSideOfTable()
Table measured at :97
ConfirmFirstMeasureToSideOfTable() - done
MoveTableToScanStartPosition()
Moving table to upper limit
Moving table to upper limit - done
MoveTableToScanStartPosition() - done
Press confirm to begin scan?
PerformScan
Revolution 0
13:19 touched True steps 386
13:20 touched True steps 386
13:21 touched True steps 384
13:22 touched True steps 385
13:23 touched True steps 385
13:24 touched True steps 385
13:25 touched True steps 383
13:26 touched True steps 387
13:27 touched True steps 390
13:28 touched True steps 392
13:29 touched True steps 393
13:30 touched True steps 392
13:31 touched True steps 391
13:32 touched True steps 389
13:33 touched True steps 387
13:34 touched True steps 389
13:35 touched True steps 391
13:36 touched True steps 391
13:37 touched True steps 393
13:38 touched True steps 397
13:39 touched True steps 405
13:40 touched True steps 403
13:41 touched True steps 403
13:42 touched True steps 403
13:43 touched True steps 401
13:44 touched True steps 397
13:45 touched True steps 394
13:46 touched True steps 391
13:47 touched True steps 387
13:48 touched True steps 383
13:49 touched True steps 363
13:50 touched True steps 362
Revolution 14
14:0 touched True steps 361
14:1 touched True steps 363
14:2 touched True steps 367
14:3 touched True steps 370
14:4 touched True steps 372
14:5 touched True steps 372
14:6 touched True steps 372
14:7 touched True steps 370
14:8 touched True steps 367
14:9 touched True steps 368
14:10 touched True steps 367
14:11 touched True steps 368
14:12 touched True steps 370
14:13 touched True steps 373
14:14 touched True steps 378
14:15 touched True steps 381
14:16 touched True steps 384
14:17 touched True steps 386
14:18 touched True steps 387
14:19 touched True steps 387
14:20 touched True steps 387
14:21 touched True steps 386
14:22 touched True steps 383
14:23 touched True steps 383
14:24 touched True steps 383
14:25 touched True steps 382
14:26 touched True steps 383
14:27 touched True steps 389
14:28 touched True steps 393
14:29 touched True steps 393
14:30 touched True steps 389
14:31 touched True steps 388
14:32 touched True steps 388
14:33 touched True steps 390
14:34 touched True steps 391
14:35 touched True steps 398
14:36 touched True steps 404
14:37 touched True steps 407
14:38 touched True steps 406
14:39 touched True steps 406
14:40 touched True steps 402
14:41 touched True steps 402
14:42 touched True steps 401
14:43 touched True steps 398
14:44 touched True steps 394
14:45 touched True steps 393
14:46 touched True steps 387
14:47 touched True steps 376
14:48 touched True steps 368
14:49 touched True steps 360
14:50 touched True steps 360
Revolution 15
15:0 touched True steps 360
15:1 touched True steps 363
15:2 touched True steps 365
15:3 touched True steps 372
15:4 touched True steps 373
15:5 touched True steps 373
15:6 touched True steps 369
15:7 touched True steps 367
15:8 touched True steps 368
15:9 touched True steps 368
15:10 touched True steps 369
15:11 touched True steps 370
15:12 touched True steps 376
15:13 touched True steps 376
15:14 touched True steps 380
15:15 touched True steps 384
15:16 touched True steps 386
15:17 touched True steps 388
15:18 touched True steps 388
15:19 touched True steps 388
15:20 touched True steps 388
15:21 touched True steps 386
15:22 touched True steps 385
15:23 touched True steps 384
15:24 touched True steps 383
15:25 touched True steps 384
15:26 touched True steps 382
15:27 touched True steps 387
15:28 touched True steps 391
15:29 touched True steps 397
15:30 touched True steps 398
15:31 touched True steps 401
15:32 touched True steps 399
15:33 touched True steps 404
15:34 touched True steps 402
15:35 touched True steps 405
15:36 touched True steps 405
15:37 touched True steps 405
15:38 touched True steps 403
15:39 touched True steps 399
15:40 touched True steps 398
15:41 touched True steps 399
15:42 touched True steps 398
15:43 touched True steps 397
15:44 touched True steps 396
15:45 touched True steps 392
15:46 touched True steps 385
15:47 touched True steps 374
15:48 touched True steps 368
15:49 touched True steps 363
15:50 touched True steps 362
Revolution 16
16:0 touched True steps 358
16:1 touched True steps 358
16:2 touched True steps 361
16:3 touched True steps 366
16:4 touched True steps 369
16:5 touched True steps 367
16:6 touched True steps 365
16:7 touched True steps 366
16:8 touched True steps 367
16:9 touched True steps 369
16:10 touched True steps 370
16:11 touched True steps 371
16:12 touched True steps 374
16:13 touched True steps 380
16:14 touched True steps 380
16:15 touched True steps 384
16:16 touched True steps 386
16:17 touched True steps 388
16:18 touched True steps 389
16:19 touched True steps 392
16:20 touched True steps 390
16:21 touched True steps 388
16:22 touched True steps 387
16:23 touched True steps 386
16:24 touched True steps 383
16:25 touched True steps 381
16:26 touched True steps 381
16:27 touched True steps 385
16:28 touched True steps 389
16:29 touched True steps 394
16:30 touched True steps 396
16:31 touched True steps 398
16:32 touched True steps 399
16:33 touched True steps 399
16:34 touched True steps 401
16:35 touched True steps 403
16:36 touched True steps 403
16:37 touched True steps 406
16:38 touched True steps 396
16:39 touched True steps 398
16:40 touched True steps 393
16:41 touched True steps 396
16:42 touched True steps 395
16:43 touched True steps 395
16:44 touched True steps 393
16:45 touched True steps 389
16:46 touched True steps 385
16:47 touched True steps 370
16:48 touched True steps 367
16:49 touched True steps 362
16:50 touched True steps 360
Revolution 17
17:0 touched True steps 356
17:1 touched True steps 357
17:2 touched True steps 361
17:3 touched True steps 363
17:4 touched True steps 365
17:5 touched True steps 366
17:6 touched True steps 365
17:7 touched True steps 367
17:8 touched True steps 371
17:9 touched True steps 371
17:10 touched True steps 375
17:11 touched True steps 375
17:12 touched True steps 379
17:13 touched True steps 386
17:14 touched True steps 386
17:15 touched True steps 391
17:16 touched True steps 391
17:17 touched True steps 394
17:18 touched True steps 395
17:19 touched True steps 394
17:20 touched True steps 394
17:21 touched True steps 392
17:22 touched True steps 391
17:23 touched True steps 391
17:24 touched True steps 388
17:25 touched True steps 388
17:26 touched True steps 384
17:27 touched True steps 384
17:28 touched True steps 389
17:29 touched True steps 390
17:30 touched True steps 392
